,32:cd:a7:a0:6d:d8,84:b2:61:56:8a:01,84:b2:61:56:8a:02,84:b2:61:56:8a:00,84:b2:61:6d:3d:22,84:b2:61:6d:3d:21,84:b2:61:6d:3d:20,84:b2:61:5e:44:22,84:b2:61:5e:44:21,84:b2:61:5e:44:20,84:b2:61:47:dd:42,84:b2:61:47:dd:41,84:b2:61:47:dd:40,84:b2:61:47:e2:c0,84:b2:61:56:8a:0f,84:b2:61:56:8a:0e,84:b2:61:56:8a:0d,84:b2:61:5e:44:2f,84:b2:61:5e:44:2d,84:b2:61:6d:3d:2e,84:b2:61:5e:44:2e,84:b2:61:6d:3d:2d,84:b2:61:6d:3d:2f,84:b2:61:47:dd:4e,84:b2:61:47:dd:4f,84:b2:61:47:dd:4d,84:b2:61:47:e2:c2,84:b2:61:47:e2:c1,84:b2:61:6d:5d:70,84:b2:61:6d:5d:72,84:b2:61:6d:5d:71,84:b2:61:47:e2:ce,84:b2:61:47:e2:cd,84:b2:61:6d:52:a1,84:b2:61:6d:52:a0,84:b2:61:6d:52:a2,84:b2:61:6d:52:af,84:b2:61:40:75:f1,84:b2:61:40:75:f2,84:b2:61:40:75:f0,c4:71:54:39:70:e4,lat,long
15:14:45:00,-39.0,-57.0,-57.0,-57.0,-70.0,-70.0,-70.0,-72.0,-72.0,-72.0,-88.0,-87.0,-87.0,-87.0,-51.0,-51.0,-51.0,-63.0,-63.0,-64.0,-64.0,-65.0,-65.0,-82.0,-82.0,-83.0,-87.0,-89.0,,,,,,,,,,,,,,44.43493749999944,26.04761157578469
15:14:46:00,-45.0,-51.0,-51.0,-51.0,-72.0,-71.0,-71.0,-72.0,-72.0,-72.0,-88.0,-87.0,-88.0,-90.0,-51.0,-51.0,-51.0,-56.0,-57.0,-64.0,-57.0,-65.0,-64.0,-83.0,-83.0,-84.0,-89.0,-90.0,,,,,,,,,,,,,,44.434937499998775,26.04762389063264
15:14:47:00,-51.0,-56.0,-56.0,-56.0,-76.0,-76.0,-76.0,-68.0,-70.0,-70.0,-83.0,-83.0,-83.0,,-49.0,-49.0,-49.0,-62.0,-62.0,-70.0,-62.0,-70.0,-69.0,-83.0,-83.0,-83.0,-88.0,-87.0,,,,,,,,,,,,,,44.43493749999783,26.04764085853394
15:14:48:00,-50.0,-42.0,-42.0,-42.0,-74.0,-72.0,-74.0,-78.0,-76.0,-78.0,-86.0,-87.0,-85.0,-78.0,-47.0,-47.0,-47.0,-66.0,-65.0,-71.0,-65.0,-72.0,-71.0,-82.0,-82.0,-81.0,-78.0,-77.0,,,,,,,,,,,,,,44.43493749999696,26.047656601947516
15:14:51:00,-49.0,-38.0,-37.0,-38.0,,,,-60.0,-60.0,-61.0,-84.0,-84.0,-85.0,-81.0,-49.0,-48.0,-48.0,-57.0,-58.0,-54.0,-57.0,-55.0,-55.0,-81.0,-80.0,-81.0,-80.0,,-89.0,-90.0,-92.0,,,,,,,,,,,44.434937499995975,26.047674630695322
15:14:53:00,-48.0,-35.0,-35.0,-35.0,-70.0,-75.0,-70.0,-66.0,-66.0,-68.0,-85.0,-84.0,-84.0,-79.0,-45.0,-45.0,-45.0,-56.0,-57.0,-64.0,-56.0,-63.0,-62.0,-81.0,-80.0,-80.0,-81.0,-81.0,,,,-85.0,-87.0,,,,,,,,,44.434937499995705,26.047681966336057
15:14:55:00,-52.0,-38.0,-38.0,-38.0,-62.0,-62.0,-63.0,-63.0,-63.0,-65.0,-82.0,-82.0,-82.0,-74.0,-44.0,-44.0,-44.0,-56.0,-57.0,-62.0,-57.0,-62.0,-61.0,-81.0,-81.0,-81.0,-74.0,-74.0,,,,,,,,,,,,,,44.43493124384536,26.0476833657506
15:14:56:00,-48.0,-40.0,-40.0,-40.0,-62.0,-61.0,-61.0,-72.0,-71.0,-72.0,-83.0,-84.0,-83.0,-72.0,-49.0,-50.0,-49.0,-70.0,-71.0,-72.0,-71.0,-72.0,-72.0,-83.0,-83.0,-83.0,-74.0,-75.0,,,,,,,,,,,,,,44.434926054084315,26.0476833657506
15:14:57:00,-57.0,-44.0,-44.0,-44.0,-64.0,-65.0,-65.0,-73.0,-73.0,-73.0,-84.0,-84.0,-83.0,-82.0,-52.0,-51.0,-51.0,-71.0,-71.0,-64.0,-72.0,-64.0,-64.0,-85.0,-83.0,-83.0,-82.0,-82.0,-92.0,-91.0,-92.0,,,,,,,,,,,44.43491726525953,26.0476833657506
15:14:58:00,-50.0,-57.0,-57.0,-57.0,-70.0,-70.0,-70.0,-75.0,-75.0,-74.0,-86.0,-87.0,-90.0,-86.0,-55.0,-55.0,-56.0,-72.0,-71.0,-65.0,-71.0,-66.0,-65.0,-87.0,,,-86.0,-85.0,,,,,,,,,,,,,,44.434906523362564,26.0476833657506
15:14:59:00,-49.0,-59.0,-59.0,-59.0,-72.0,-72.0,-72.0,-77.0,-78.0,-78.0,-90.0,-90.0,-91.0,-89.0,-55.0,-56.0,-56.0,-70.0,-70.0,-64.0,-70.0,-64.0,-63.0,-84.0,-83.0,-84.0,-90.0,-90.0,,,,,,,,,,,,,,44.434895103405665,26.0476833657506
15:15:00:00,-53.0,-53.0,-53.0,-53.0,-66.0,-66.0,-66.0,-71.0,-71.0,-71.0,-90.0,-89.0,-88.0,-85.0,-55.0,-56.0,-55.0,-69.0,-69.0,-65.0,-71.0,-64.0,-64.0,-84.0,-86.0,-85.0,-86.0,-89.0,,,,,,,,,,,,,,44.43488453994553,26.0476833657506
15:15:01:00,-55.0,-64.0,-66.0,-60.0,-75.0,-76.0,-76.0,-72.0,-72.0,-72.0,-83.0,-82.0,-82.0,-87.0,-57.0,-57.0,-57.0,-69.0,-66.0,-63.0,-69.0,-63.0,-64.0,-87.0,-87.0,,-88.0,-87.0,,,,,,,,,,,,,,44.43487544680485,26.0476833657506
15:15:02:00,-50.0,-56.0,-56.0,-54.0,-58.0,-59.0,-59.0,-74.0,-74.0,-73.0,-83.0,-83.0,-86.0,-84.0,-50.0,-51.0,-50.0,-66.0,-66.0,-62.0,-68.0,-62.0,-62.0,,,,-84.0,-83.0,,,,,,,,,,,,,,44.43487454748273,26.047692811788572
15:15:03:00,-53.0,-57.0,-57.0,-57.0,-62.0,-63.0,-63.0,-73.0,-73.0,-73.0,-81.0,-81.0,-81.0,-90.0,-52.0,-53.0,-52.0,-70.0,-69.0,-58.0,-69.0,-58.0,-58.0,-84.0,-85.0,-83.0,-88.0,-86.0,-90.0,-90.0,-90.0,,,,,,,,,,,44.434880842733804,26.047695960467895
15:15:04:00,-51.0,-61.0,-61.0,-61.0,-56.0,-56.0,-56.0,-71.0,-72.0,-72.0,-83.0,-85.0,-84.0,-85.0,-48.0,-48.0,-48.0,-71.0,-71.0,-55.0,-71.0,-55.0,-54.0,-82.0,-81.0,-81.0,-85.0,-85.0,,,,,,,,,,,,,,44.43489053542221,26.047695960467895
15:15:05:00,-52.0,-55.0,-55.0,-55.0,-60.0,-60.0,-60.0,-79.0,-77.0,-77.0,-83.0,-82.0,-82.0,-84.0,-47.0,-47.0,-47.0,-69.0,-68.0,-58.0,-66.0,-57.0,-57.0,-79.0,-79.0,-79.0,-84.0,-86.0,,-92.0,-90.0,,,,,,,,,,,44.434901527130734,26.047695960467895
15:15:06:00,-54.0,-44.0,-44.0,-44.0,-59.0,-59.0,-59.0,-71.0,-71.0,-71.0,-81.0,-83.0,-83.0,-80.0,-41.0,-42.0,-42.0,-62.0,-62.0,-57.0,-62.0,-57.0,-57.0,-81.0,-80.0,-80.0,-80.0,-80.0,,,,,,,,,,,,,,44.434910520346804,26.047695960467895
15:15:07:00,-54.0,-40.0,-40.0,-40.0,-60.0,-60.0,-60.0,-57.0,-58.0,-57.0,-81.0,-82.0,-81.0,-81.0,-41.0,-42.0,-42.0,-59.0,-59.0,-56.0,-59.0,-55.0,-55.0,-78.0,-77.0,-77.0,,-78.0,,,,,,,,,,,,,,44.43492151205531,26.047695960467895
15:15:08:00,-64.0,-41.0,-42.0,-42.0,-74.0,-73.0,-74.0,-72.0,-72.0,-72.0,-88.0,-87.0,-89.0,-84.0,-48.0,-48.0,-48.0,-54.0,-54.0,-62.0,-54.0,-62.0,-62.0,-83.0,-83.0,-84.0,-85.0,-84.0,,,,,,,,,,,,,,44.43493075508293,26.047695960467895
15:15:09:00,-72.0,-57.0,-57.0,-57.0,-78.0,-78.0,-78.0,-64.0,-64.0,-63.0,-90.0,-91.0,-92.0,-90.0,-55.0,-55.0,-54.0,-61.0,-61.0,-72.0,-61.0,-72.0,-72.0,-86.0,-83.0,-86.0,-92.0,-91.0,,,,,,,,,,,,,,44.434933003386455,26.04770477677882
