,32:cd:a7:a0:6d:d8,84:b2:61:56:8a:01,84:b2:61:56:8a:02,84:b2:61:56:8a:00,84:b2:61:6d:3d:22,84:b2:61:6d:3d:21,84:b2:61:6d:3d:20,84:b2:61:5e:44:22,84:b2:61:5e:44:21,84:b2:61:5e:44:20,84:b2:61:47:dd:42,84:b2:61:47:dd:41,84:b2:61:47:dd:40,84:b2:61:47:e2:c0,84:b2:61:56:8a:0f,84:b2:61:56:8a:0e,84:b2:61:56:8a:0d,84:b2:61:5e:44:2f,84:b2:61:5e:44:2d,84:b2:61:6d:3d:2e,84:b2:61:5e:44:2e,84:b2:61:6d:3d:2d,84:b2:61:6d:3d:2f,84:b2:61:47:dd:4e,84:b2:61:47:dd:4f,84:b2:61:47:dd:4d,84:b2:61:47:e2:c2,84:b2:61:47:e2:c1,84:b2:61:6d:5d:70,84:b2:61:6d:5d:72,84:b2:61:6d:5d:71,84:b2:61:47:e2:ce,84:b2:61:47:e2:cd,84:b2:61:6d:52:a1,84:b2:61:6d:52:a0,84:b2:61:6d:52:a2,84:b2:61:6d:52:af,84:b2:61:40:75:f1,84:b2:61:40:75:f2,84:b2:61:40:75:f0,c4:71:54:39:70:e4,lat,long
13:03:25:00,-41.0,-61.0,-61.0,-61.0,-74.0,-74.0,-74.0,-77.0,-77.0,-76.0,-93.0,-92.0,-92.0,-92.0,-55.0,-55.0,-55.0,-67.0,-67.0,-68.0,-68.0,-69.0,-69.0,-87.0,-87.0,-88.0,-92.0,-94.0,,,,,,,,,,,,,,44.43493749999931,26.04761409473086
13:03:26:00,-47.0,-55.0,-55.0,-55.0,-76.0,-75.0,-75.0,-77.0,-77.0,-77.0,-93.0,-92.0,-93.0,-95.0,-55.0,-55.0,-55.0,-60.0,-61.0,-68.0,-61.0,-69.0,-68.0,-88.0,-88.0,-89.0,-94.0,-95.0,,,,,,,,,,,,,,44.43493749999862,26.04762668946172
13:03:27:00,-55.0,-60.0,-60.0,-60.0,-81.0,-81.0,-81.0,-72.0,-74.0,-74.0,-88.0,-88.0,-88.0,,-53.0,-53.0,-53.0,-66.0,-66.0,-74.0,-66.0,-74.0,-73.0,-88.0,-88.0,-88.0,-93.0,-92.0,,,,,,,,,,,,,,44.43493749999769,26.0476434824362
13:03:28:00,-54.0,-44.0,-44.0,-44.0,-79.0,-76.0,-79.0,-83.0,-81.0,-83.0,-91.0,-92.0,-90.0,-83.0,-49.0,-49.0,-49.0,-70.0,-69.0,-75.0,-69.0,-76.0,-75.0,-87.0,-87.0,-86.0,-83.0,-82.0,,,,,,,,,,,,,,44.43493749999691,26.047657476581602
13:03:31:00,-53.0,-40.0,-39.0,-40.0,,,,-64.0,-64.0,-65.0,-89.0,-89.0,-90.0,-86.0,-53.0,-52.0,-52.0,-61.0,-62.0,-58.0,-61.0,-59.0,-59.0,-86.0,-85.0,-86.0,-85.0,,-94.0,-95.0,-97.0,,,,,,,,,,,44.43493749999599,26.04767431328779
13:03:32:00,-52.0,-37.0,-37.0,-37.0,-74.0,-80.0,-74.0,-70.0,-70.0,-72.0,-90.0,-89.0,-89.0,-84.0,-47.0,-47.0,-47.0,-60.0,-61.0,-68.0,-60.0,-67.0,-66.0,-86.0,-85.0,-85.0,-86.0,-86.0,,,,-90.0,-92.0,,,,,,,,,44.43493749999579,26.047678785848465
13:03:35:00,-51.0,-42.0,-42.0,-42.0,-66.0,-65.0,-65.0,-77.0,-75.0,-77.0,-88.0,-89.0,-88.0,-76.0,-53.0,-54.0,-53.0,-74.0,-75.0,-76.0,-75.0,-76.0,-76.0,-88.0,-88.0,-88.0,-79.0,-80.0,,,,,,,,,,,,,,44.434928897789,26.0476833657506
13:03:36:00,-61.0,-46.0,-46.0,-46.0,-68.0,-69.0,-69.0,-78.0,-78.0,-78.0,-89.0,-89.0,-88.0,-87.0,-56.0,-55.0,-55.0,-75.0,-75.0,-68.0,-76.0,-68.0,-68.0,-90.0,-88.0,-88.0,-87.0,-87.0,-97.0,-96.0,-97.0,,,,,,,,,,,44.434918389411536,26.0476833657506
13:03:37:00,-54.0,-61.0,-61.0,-61.0,-74.0,-74.0,-74.0,-80.0,-80.0,-79.0,-91.0,-92.0,-95.0,-91.0,-59.0,-59.0,-60.0,-76.0,-75.0,-69.0,-75.0,-70.0,-69.0,-92.0,,,-91.0,-90.0,,,,,,,,,,,,,,44.434907522608796,26.0476833657506
13:03:38:00,-53.0,-63.0,-63.0,-63.0,-76.0,-76.0,-76.0,-82.0,-83.0,-83.0,-95.0,-95.0,-96.0,-94.0,-59.0,-60.0,-60.0,-74.0,-74.0,-68.0,-74.0,-68.0,-67.0,-89.0,-88.0,-89.0,-95.0,-95.0,,,,,,,,,,,,,,44.43489703052339,26.0476833657506
13:03:39:00,-57.0,-57.0,-57.0,-57.0,-70.0,-70.0,-70.0,-75.0,-75.0,-75.0,-95.0,-94.0,-93.0,-90.0,-59.0,-60.0,-59.0,-73.0,-73.0,-69.0,-75.0,-68.0,-68.0,-89.0,-91.0,-90.0,-91.0,-94.0,,,,,,,,,,,,,,44.434886538437986,26.0476833657506
13:03:40:01,-59.0,-68.0,-70.0,-64.0,-80.0,-81.0,-81.0,-77.0,-77.0,-77.0,-88.0,-87.0,-87.0,-92.0,-61.0,-61.0,-61.0,-73.0,-70.0,-67.0,-73.0,-67.0,-68.0,-92.0,-92.0,,-93.0,-92.0,,,,,,,,,,,,,,44.43487644605108,26.0476833657506
13:03:42:01,-54.0,-60.0,-60.0,-58.0,-62.0,-63.0,-63.0,-79.0,-79.0,-78.0,-88.0,-88.0,-91.0,-89.0,-54.0,-55.0,-54.0,-70.0,-70.0,-66.0,-72.0,-66.0,-66.0,,,,-89.0,-88.0,,,,,,,,,,,,,,44.43487454748265,26.04769422119741
13:03:43:00,-57.0,-61.0,-61.0,-61.0,-66.0,-67.0,-67.0,-78.0,-78.0,-78.0,-86.0,-86.0,-86.0,-95.0,-56.0,-57.0,-56.0,-74.0,-73.0,-62.0,-73.0,-62.0,-62.0,-89.0,-90.0,-88.0,-93.0,-91.0,-95.0,-95.0,-95.0,,,,,,,,,,,44.434880842733804,26.047695960467895
13:03:44:00,-55.0,-65.0,-65.0,-65.0,-60.0,-60.0,-60.0,-75.0,-76.0,-76.0,-88.0,-90.0,-89.0,-90.0,-52.0,-52.0,-52.0,-75.0,-75.0,-59.0,-75.0,-59.0,-58.0,-87.0,-86.0,-86.0,-90.0,-90.0,,,,,,,,,,,,,,44.43489053542221,26.047695960467895
13:03:45:00,-56.0,-59.0,-59.0,-59.0,-64.0,-64.0,-64.0,-84.0,-82.0,-82.0,-88.0,-87.0,-87.0,-89.0,-49.0,-49.0,-49.0,-73.0,-72.0,-62.0,-70.0,-61.0,-61.0,-84.0,-84.0,-84.0,-89.0,-91.0,,-97.0,-95.0,,,,,,,,,,,44.4349005278845,26.047695960467895
13:03:46:00,-58.0,-46.0,-46.0,-46.0,-63.0,-63.0,-63.0,-75.0,-75.0,-75.0,-86.0,-88.0,-88.0,-85.0,-43.0,-44.0,-44.0,-66.0,-66.0,-61.0,-66.0,-61.0,-61.0,-86.0,-85.0,-85.0,-85.0,-85.0,,,,,,,,,,,,,,44.434910520346804,26.047695960467895
